,id,name
0,1,Thừa Thiên - Huế
1,2,Kiên Giang
2,3,Hải Phòng
3,4,Gia Lai
4,5,Bình Định
5,6,An Giang
6,7,Nghệ An
7,8,Hưng Yên
8,9,Bắc Kạn
9,10,Quảng Ninh
10,11,Hà Nội
11,12,Quảng Bình
12,13,Quảng Ngãi
13,14,Bến Tre
14,15,Bà Rịa - Vũng Tàu
15,16,Thanh Hóa
16,17,Ninh Thuận
17,18,Bạc Liêu
18,19,Cao Bằng
19,20,Lâm Đồng
20,21,Lào Cai
21,22,Bình Dương
22,23,Bình Thuận
23,24,Bắc Giang
24,25,Hà Giang
25,26,Bắc Ninh
26,27,Lạng Sơn
27,28,Quảng Nam
28,29,Sơn La
29,30,Tây Ninh
30,31,Long An
31,32,Đồng Nai
32,33,Hồ Chí Minh
33,34,Hải Dương
34,35,Bình Phước
35,36,Hà Nam
36,37,Vĩnh Long
37,38,Cần Thơ
38,39,Vĩnh Phúc
39,40,Đắk Lắk
40,41,Cà Mau
41,42,Tiền Giang
42,43,Khánh Hòa
43,44,Quảng Trị
44,45,Hà Tĩnh
45,46,Trà Vinh
46,47,Đồng Tháp
47,48,Hòa Bình
48,49,Phú Thọ
49,50,Đà Nẵng
50,51,Hậu Giang
51,52,Sóc Trăng
52,53,Tuyên Quang
53,54,Đắk Nông
54,55,Thái Nguyên
55,56,Kon Tum
56,57,Điện Biên
57,58,Phú Yên
58,59,Thái Bình
59,60,Ninh Bình
60,61,Nam Định
61,62,Lai Châu
62,63,Yên Bái
