,id,name,name_no_accent
0,1,Thừa Thiên - Huế,thua thien - hue
1,2,Kiên Giang,kien giang
2,3,Hải Phòng,hai phong
3,4,Gia Lai,gia lai
4,5,Bình Định,binh dinh
5,6,An Giang,an giang
6,7,Nghệ An,nghe an
7,8,Hưng Yên,hung yen
8,9,Bắc Kạn,bac kan
9,10,Quảng Ninh,quang ninh
10,11,Hà Nội,ha noi
11,12,Quảng Bình,quang binh
12,13,Quảng Ngãi,quang ngai
13,14,Bến Tre,ben tre
14,15,Bà Rịa - Vũng Tàu,ba ria - vung tau
15,16,Thanh Hóa,thanh hoa
16,17,Ninh Thuận,ninh thuan
17,18,Bạc Liêu,bac lieu
18,19,Cao Bằng,cao bang
19,20,Lâm Đồng,lam dong
20,21,Lào Cai,lao cai
21,22,Bình Dương,binh duong
22,23,Bình Thuận,binh thuan
23,24,Bắc Giang,bac giang
24,25,Hà Giang,ha giang
25,26,Bắc Ninh,bac ninh
26,27,Lạng Sơn,lang son
27,28,Quảng Nam,quang nam
28,29,Sơn La,son la
29,30,Tây Ninh,tay ninh
30,31,Long An,long an
31,32,Đồng Nai,dong nai
32,33,Hồ Chí Minh,ho chi minh
33,34,Hải Dương,hai duong
34,35,Bình Phước,binh phuoc
35,36,Hà Nam,ha nam
36,37,Vĩnh Long,vinh long
37,38,Cần Thơ,can tho
38,39,Vĩnh Phúc,vinh phuc
39,40,Đắk Lắk,dak lak
40,41,Cà Mau,ca mau
41,42,Tiền Giang,tien giang
42,43,Khánh Hòa,khanh hoa
43,44,Quảng Trị,quang tri
44,45,Hà Tĩnh,ha tinh
45,46,Trà Vinh,tra vinh
46,47,Đồng Tháp,dong thap
47,48,Hòa Bình,hoa binh
48,49,Phú Thọ,phu tho
49,50,Đà Nẵng,da nang
50,51,Hậu Giang,hau giang
51,52,Sóc Trăng,soc trang
52,53,Tuyên Quang,tuyen quang
53,54,Đắk Nông,dak nong
54,55,Thái Nguyên,thai nguyen
55,56,Kon Tum,kon tum
56,57,Điện Biên,dien bien
57,58,Phú Yên,phu yen
58,59,Thái Bình,thai binh
59,60,Ninh Bình,ninh binh
60,61,Nam Định,nam dinh
61,62,Lai Châu,lai chau
62,63,Yên Bái,yen bai
